postgres-1  | 2025-10-20 22:50:13.635 UTC [49061] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:14.261 UTC [49062] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:14.261 UTC [49062] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:14.896 UTC [49070] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:14.896 UTC [49070] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:15.517 UTC [49071] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:15.517 UTC [49071] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:16.156 UTC [49072] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:16.156 UTC [49072] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:16.793 UTC [49073] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:16.793 UTC [49073] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:17.440 UTC [49074] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:17.440 UTC [49074] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:18.089 UTC [49075] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:18.089 UTC [49075] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:18.741 UTC [49076] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:18.741 UTC [49076] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:19.379 UTC [49077] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:19.379 UTC [49077] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:20.011 UTC [49085] FATAL:  password authentication failed for user "postgres"
